cliente_id,banda,ingreso_recurrente,edad,antiguedad_laboral,num_productos,score_comportamiento,ratio_deuda_ingreso,meses_ultimo_atraso,default,prob_default
1,1,599.34,31,1.6,1,351,1.36,1,1,0.5797
2,1,472.35,36,1.86,2,373,0.4,2,1,0.3135
3,1,629.54,20,0.0,1,370,0.1,1,1,0.3614
4,1,804.61,29,0.38,1,437,3.0,2,1,0.8277
5,1,453.17,23,0.45,1,516,0.38,3,0,0.2118
6,1,453.17,24,0.4,1,541,1.47,3,1,0.4098
7,1,815.84,24,0.65,2,461,1.59,0,1,0.4886
8,1,653.49,22,0.32,2,455,1.22,1,1,0.4656
9,1,406.11,27,1.02,2,339,0.49,3,1,0.4611
10,1,608.51,22,0.0,1,402,0.41,9,1,0.3277
11,1,407.32,28,1.26,1,390,1.18,4,1,0.5224
12,1,406.85,26,0.5,1,398,2.61,0,1,0.8664
13,1,548.39,25,1.34,1,421,3.0,0,1,0.8429
14,1,117.34,22,0.0,1,406,0.15,1,1,0.4382
15,1,155.02,24,1.07,1,331,0.22,2,1,0.4747
16,1,387.54,30,0.9,1,467,3.0,1,1,0.8384
17,1,297.43,29,0.37,1,376,1.73,1,1,0.7771
18,1,562.85,22,0.0,2,441,2.79,3,1,0.8412
19,1,318.4,27,0.34,3,533,0.29,0,0,0.2251
20,1,217.54,30,1.01,3,384,1.15,3,1,0.6001
21,1,793.13,18,0.0,2,303,1.57,1,1,0.7685
22,1,454.84,29,0.41,1,415,1.48,0,1,0.6441
23,1,513.51,23,0.09,2,485,0.68,1,1,0.3389
24,1,215.05,29,1.77,2,527,0.1,2,0,0.1374
25,1,391.12,23,0.96,1,368,1.14,0,1,0.6084
26,1,522.18,18,0.0,1,454,0.38,0,1,0.3295
27,1,269.8,18,0.0,2,406,0.78,6,1,0.5168
28,1,575.14,27,0.56,1,424,3.0,0,1,0.8692
29,1,379.87,28,0.91,1,562,0.66,1,0,0.2064
30,1,441.66,22,0.0,1,354,2.38,1,1,0.8839
31,1,379.66,30,0.67,1,442,0.27,1,1,0.2986
32,1,870.46,18,0.0,1,453,1.45,2,1,0.4897
33,1,497.3,26,0.6,1,484,3.0,0,1,0.8257
34,1,288.46,20,0.12,1,434,0.14,1,1,0.3414
35,1,664.51,23,0.0,1,445,0.1,0,0,0.2544
36,1,255.83,27,1.29,2,410,0.74,2,1,0.4297
37,1,541.77,22,0.0,1,443,0.13,0,0,0.2867
38,1,108.07,25,0.0,1,412,1.79,1,1,0.7996
39,1,234.36,32,1.11,1,461,3.0,0,1,0.8586
40,1,539.37,24,0.72,3,411,0.74,0,1,0.4212
41,1,647.69,31,1.74,1,448,0.39,0,0,0.2022
42,1,534.27,21,0.0,1,428,0.74,0,1,0.4544
43,1,476.87,29,1.24,2,486,1.67,3,1,0.4764
44,1,439.78,34,1.18,2,427,0.1,0,0,0.2451
45,1,204.3,18,0.0,1,341,1.16,5,1,0.7286
46,1,356.03,23,0.54,2,493,1.24,7,1,0.4111
47,1,407.87,29,1.03,1,384,1.32,1,1,0.6097
48,1,711.42,25,0.0,1,397,0.36,0,1,0.3688
49,1,568.72,28,1.34,1,400,1.63,0,1,0.6024
50,1,147.39,23,0.79,1,498,0.12,3,0,0.2223
51,1,564.82,27,0.19,2,323,0.29,0,1,0.4934
52,1,422.98,26,0.6,1,586,2.73,0,1,0.6619
53,1,364.62,32,1.25,1,482,1.74,1,1,0.5461
54,1,622.34,28,0.73,2,441,0.1,3,0,0.2054
55,1,706.2,28,0.32,2,427,0.37,3,0,0.2823
56,1,686.26,24,0.0,1,444,0.31,0,1,0.2942
57,1,332.16,24,0.19,2,456,0.41,2,1,0.3473
58,1,438.16,24,0.79,1,462,0.37,0,0,0.2781
59,1,566.25,28,0.87,2,457,0.1,0,0,0.2058
60,1,695.11,24,0.01,2,434,0.8,4,1,0.3853
61,1,404.17,28,0.99,3,420,1.72,0,1,0.6579
62,1,462.87,37,0.08,1,422,1.21,0,1,0.594
63,1,278.73,31,1.47,1,420,1.45,0,1,0.5869
64,1,260.76,25,0.0,1,486,0.11,4,0,0.2557
65,1,662.51,33,0.92,1,459,3.0,3,1,0.794
66,1,771.25,24,0.0,1,300,2.37,1,1,0.8859
67,1,485.6,18,0.0,3,462,2.13,2,1,0.7247
