monthly_income,employment_tenure,age,employment_type,acquisition_channel,marital_status,gender,converted,income_bin
24295.06425955186,11,26,Self-employed,Branch,Divorced,M,0,15K-25K
16598.06529896586,12,31,Self-employed,Branch,Single,F,0,15K-25K
26598.580345095805,37,34,Self-employed,Digital,Single,M,0,25K-40K
44973.01462362054,20,50,Salaried,Digital,Married,M,1,40K+
15670.072706084335,17,24,Self-employed,Branch,Married,F,0,15K-25K
15670.227067473437,62,33,Salaried,Referral,Married,M,1,15K-25K
46514.88692690657,63,49,Self-employed,Referral,Single,F,0,40K+
28579.953872142636,104,34,Self-employed,Digital,Single,F,1,25K-40K
13606.669670247551,32,43,Self-employed,Referral,Married,M,1,8K-15K
24972.63804200039,4,36,Salaried,Digital,Divorced,M,0,15K-25K
13656.206478072065,19,41,Self-employed,Branch,Married,F,0,8K-15K
13637.275224711459,234,35,Other,Phone,Single,F,0,8K-15K
20851.42067800814,54,46,Salaried,Branch,Married,M,0,15K-25K
5721.760708647783,74,19,Retired,Digital,Single,M,0,0-8K
6406.377775028287,0,33,Self-employed,Digital,Single,M,0,0-8K
12869.654855233792,43,41,Self-employed,Branch,Single,F,1,8K-15K
9821.226854378892,2,44,Salaried,Referral,Married,M,0,8K-15K
21775.666278082248,50,55,Salaried,Phone,Divorced,F,0,15K-25K
10458.659292464801,152,33,Other,Referral,Married,F,0,8K-15K
7728.095853346867,207,55,Salaried,Referral,Single,F,1,0-8K
43451.00503877425,46,30,Salaried,Referral,Single,F,0,40K+
15749.032593116792,36,53,Self-employed,Referral,Single,M,1,15K-25K
18779.421022473383,174,47,Salaried,Digital,Divorced,M,1,15K-25K
7670.607441346996,67,27,Self-employed,Phone,Married,F,1,0-8K
13008.65735634199,4,41,Self-employed,Digital,Single,M,1,8K-15K
19274.79482631886,37,37,Retired,Phone,Married,M,1,15K-25K
9039.904177957835,16,45,Self-employed,Digital,Married,F,0,8K-15K
22593.528868509744,38,35,Salaried,Referral,Widowed,M,0,15K-25K
12576.896340812838,36,34,Salaried,Referral,Divorced,F,0,8K-15K
15138.307792804053,52,54,Self-employed,Phone,Single,M,1,15K-25K
12568.840233157367,26,36,Salaried,Referral,Married,M,1,8K-15K
50000.0,10,47,Other,Digital,Married,M,1,40K+
17888.291383625994,42,35,Self-employed,Branch,Single,F,1,15K-25K
9560.290978142657,106,57,Salaried,Digital,Married,F,1,8K-15K
29540.779605642376,65,29,Retired,Digital,Married,M,1,25K-40K
8668.870721456444,24,30,Salaried,Digital,Single,M,1,8K-15K
20441.412712103363,164,56,Salaried,Digital,Married,F,1,15K-25K
5564.697617036779,145,32,Self-employed,Branch,Married,M,0,0-8K
