monthly_income,employment_tenure,age,employment_type,acquisition_channel,marital_status,gender,converted
8931.399170571807,90.4,44,Self-employed,Digital,Married,M,1
31166.964214817894,12.8,16,Salaried,Digital,Single,M,0
20302.38822057114,53.6,32,Salaried,Referral,Married,M,1
6939.117453020262,63.2,16,Salaried,Digital,Single,F,0
12107.090533137974,157.60000000000002,20,Self-employed,Branch,Widowed,M,0
46146.14146473137,11.200000000000001,36,Salaried,Digital,Married,F,1
3994.6017238521663,34.4,28,Self-employed,Phone,Divorced,M,0
13244.784460472436,57.6,30,Salaried,Branch,Single,F,0
36617.02081346924,2.4000000000000004,30,Self-employed,Digital,Single,F,1
10184.909716409593,97.60000000000001,38,Salaried,Branch,Married,M,1
11400.072735157615,20.0,45,Self-employed,Branch,Widowed,F,1
16185.666154157832,53.6,24,Self-employed,Digital,Single,F,0
41920.929053579704,24.8,33,Salaried,Digital,Married,M,1
11676.873112871875,108.80000000000001,39,Self-employed,Phone,Single,M,0
13125.570193425636,78.4,32,Self-employed,Referral,Married,M,1
13201.63467921322,29.6,44,Self-employed,Referral,Single,F,1
47500.0,142.4,36,Self-employed,Branch,Married,F,1
47500.0,69.60000000000001,50,Self-employed,Referral,Single,M,1
31292.666261799943,27.200000000000003,23,Salaried,Digital,Single,M,1
21599.350960965723,104.0,65,Self-employed,Digital,Single,M,0
26665.55272092802,36.0,28,Other,Phone,Divorced,M,0
41904.39204540974,39.2,52,Salaried,Referral,Divorced,M,1
9771.315516807312,4.800000000000001,49,Salaried,Referral,Married,M,1
34689.909546564486,107.2,56,Salaried,Branch,Single,M,1
8073.790107392209,23.200000000000003,45,Self-employed,Digital,Married,F,0
11684.936400674691,31.200000000000003,27,Retired,Digital,Married,M,1
29524.32630703537,211.20000000000002,16,Self-employed,Digital,Single,F,1
7269.903418322986,83.2,27,Salaried,Branch,Single,M,0
15751.099849016553,5.6000000000000005,48,Retired,Digital,Married,M,1
10215.421488226251,71.2,38,Salaried,Digital,Married,F,0
14696.065491387542,12.8,23,Retired,Digital,Married,F,0
3195.673818343794,8.0,21,Self-employed,Branch,Divorced,F,0
5918.195356087052,82.4,22,Self-employed,Digital,Married,M,1
